time,v_1,v_2,i_1
0.18850,5.00000,4.88254,0.01175
0.18900,5.00000,4.88370,0.01163
0.18950,5.00000,4.88486,0.01151
0.19000,5.00000,4.88600,0.01140
0.19050,5.00000,4.88713,0.01129
0.19100,5.00000,4.88824,0.01118
0.19150,5.00000,4.88935,0.01107
0.19200,5.00000,4.89044,0.01096
0.19250,5.00000,4.89153,0.01085
0.19300,5.00000,4.89260,0.01074
0.19350,5.00000,4.89367,0.01063
0.19400,5.00000,4.89472,0.01053
0.19450,5.00000,4.89576,0.01042
0.19500,5.00000,4.89679,0.01032
0.19550,5.00000,4.89781,0.01022
0.19600,5.00000,4.89882,0.01012
0.19650,5.00000,4.89983,0.01002
0.19700,5.00000,4.90082,0.00992
0.19750,5.00000,4.90180,0.00982
0.19800,5.00000,4.90277,0.00972
0.19850,5.00000,4.90373,0.00963
0.19900,5.00000,4.90469,0.00953
0.19950,5.00000,4.90563,0.00944
0.20000,5.00000,4.90656,0.00934
0.20050,5.00000,4.90749,0.00925
0.20100,5.00000,4.90840,0.00916
0.20150,5.00000,4.90931,0.00907
0.20200,5.00000,4.91021,0.00898
0.20250,5.00000,4.91110,0.00889
0.20300,5.00000,4.91198,0.00880
0.20350,5.00000,4.91285,0.00872
0.20400,5.00000,4.91371,0.00863
0.20450,5.00000,4.91457,0.00854
0.20500,5.00000,4.91541,0.00846
0.20550,5.00000,4.91625,0.00838
0.20600,5.00000,4.91708,0.00829
0.20650,5.00000,4.91790,0.00821
0.20700,5.00000,4.91871,0.00813
0.20750,5.00000,4.91952,0.00805
0.20800,5.00000,4.92031,0.00797
0.20850,5.00000,4.92110,0.00789
0.20900,5.00000,4.92188,0.00781
0.20950,5.00000,4.92266,0.00773
0.21000,5.00000,4.92342,0.00766
0.21050,5.00000,4.92418,0.00758
0.21100,5.00000,4.92493,0.00751
0.21150,5.00000,4.92567,0.00743
0.21200,5.00000,4.92641,0.00736
0.21250,5.00000,4.92714,0.00729
0.21300,5.00000,4.92786,0.00721
0.21350,5.00000,4.92857,0.00714
0.21400,5.00000,4.92928,0.00707
0.21450,5.00000,4.92998,0.00700
0.21500,5.00000,4.93067,0.00693
0.21550,5.00000,4.93136,0.00686
0.21600,5.00000,4.93204,0.00680
0.21650,5.00000,4.93271,0.00673
0.21700,5.00000,4.93338,0.00666
0.21750,5.00000,4.93404,0.00660
0.21800,5.00000,4.93469,0.00653
0.21850,5.00000,4.93534,0.00647
0.21900,5.00000,4.93598,0.00640
0.21950,5.00000,4.93661,0.00634
0.22000,5.00000,4.93724,0.00628
0.22050,5.00000,4.93786,0.00621
0.22100,5.00000,4.93847,0.00615
0.22150,5.00000,4.93908,0.00609
0.22200,5.00000,4.93968,0.00603
0.22250,5.00000,4.94028,0.00597
0.22300,5.00000,4.94087,0.00591
0.22350,5.00000,4.94146,0.00585
0.22400,5.00000,4.94204,0.00580
0.22450,5.00000,4.94261,0.00574
0.22500,5.00000,4.94318,0.00568
0.22550,5.00000,4.94374,0.00563
0.22600,5.00000,4.94430,0.00557
0.22650,5.00000,4.94485,0.00552
0.22700,5.00000,4.94540,0.00546
0.22750,5.00000,4.94594,0.00541
0.22800,5.00000,4.94647,0.00535
0.22850,5.00000,4.94700,0.00530
0.22900,5.00000,4.94753,0.00525
0.22950,5.00000,4.94804,0.00520
0.23000,5.00000,4.94856,0.00514
0.23050,5.00000,4.94907,0.00509
0.23100,5.00000,4.94957,0.00504
0.23150,5.00000,4.95007,0.00499
0.23200,5.00000,4.95057,0.00494
0.23250,5.00000,4.95105,0.00489
0.23300,5.00000,4.95154,0.00485
0.23350,5.00000,4.95202,0.00480
0.23400,5.00000,4.95249,0.00475
0.23450,5.00000,4.95296,0.00470
0.23500,5.00000,4.95343,0.00466
0.23550,5.00000,4.95389,0.00461
0.23600,5.00000,4.95435,0.00457
0.23650,5.00000,4.95480,0.00452
0.23700,5.00000,4.95525,0.00448
0.23750,5.00000,4.95569,0.00443
0.23800,5.00000,4.95613,0.00439
0.23850,5.00000,4.95656,0.00434
0.23900,5.00000,4.95699,0.00430
0.23950,5.00000,4.95742,0.00426
0.24000,5.00000,4.95784,0.00422
0.24050,5.00000,4.95826,0.00417
0.24100,5.00000,4.95867,0.00413
0.24150,5.00000,4.95908,0.00409
0.24200,5.00000,4.95948,0.00405
0.24250,5.00000,4.95988,0.00401
0.24300,5.00000,4.96028,0.00397
0.24350,5.00000,4.96067,0.00393
0.24400,5.00000,4.96106,0.00389
0.24450,5.00000,4.96145,0.00386
0.24500,5.00000,4.96183,0.00382
0.24550,5.00000,4.96221,0.00378
0.24600,5.00000,4.96258,0.00374
0.24650,5.00000,4.96295,0.00370
0.24700,5.00000,4.96332,0.00367
0.24750,5.00000,4.96368,0.00363
0.24800,5.00000,4.96404,0.00360
0.24850,5.00000,4.96440,0.00356
0.24900,5.00000,4.96475,0.00353
