time,v_1,v_2,i_1,res,pres,pcap,ptot
0.00200,52.00000,0.10473,1.67404,51.89527,86.87480,0.17533,87.05013
0.00201,52.00000,0.10526,1.67402,51.89474,86.87305,0.17620,87.04925
0.00202,52.00000,0.10578,1.67401,51.89422,86.87130,0.17707,87.04837
0.00203,52.00000,0.10630,1.67399,51.89370,86.86955,0.17795,87.04750
0.00204,52.00000,0.10682,1.67397,51.89318,86.86780,0.17882,87.04662
0.00205,52.00000,0.10735,1.67396,51.89265,86.86604,0.17970,87.04574
0.00206,52.00000,0.10787,1.67394,51.89213,86.86429,0.18057,87.04486
0.00207,52.00000,0.10839,1.67392,51.89161,86.86254,0.18144,87.04398
0.00208,52.00000,0.10892,1.67391,51.89108,86.86079,0.18232,87.04311
0.00209,52.00000,0.10944,1.67389,51.89056,86.85904,0.18319,87.04223
0.00210,52.00000,0.10996,1.67387,51.89004,86.85729,0.18406,87.04135
0.00211,52.00000,0.11049,1.67386,51.88951,86.85554,0.18494,87.04048
0.00212,52.00000,0.11101,1.67384,51.88899,86.85379,0.18581,87.03960
0.00213,52.00000,0.11153,1.67382,51.88847,86.85203,0.18669,87.03872
0.00214,52.00000,0.11206,1.67380,51.88794,86.85028,0.18756,87.03784
0.00215,52.00000,0.11258,1.67379,51.88742,86.84853,0.18843,87.03696
0.00216,52.00000,0.11310,1.67377,51.88690,86.84678,0.18931,87.03609
0.00217,52.00000,0.11362,1.67375,51.88638,86.84503,0.19018,87.03521
0.00218,52.00000,0.11415,1.67374,51.88585,86.84328,0.19105,87.03433
0.00219,52.00000,0.11467,1.67372,51.88533,86.84153,0.19193,87.03346
0.00220,52.00000,0.11519,1.67370,51.88481,86.83978,0.19280,87.03258
0.00221,52.00000,0.11572,1.67369,51.88428,86.83803,0.19367,87.03170
0.00222,52.00000,0.11624,1.67367,51.88376,86.83627,0.19455,87.03082
0.00223,52.00000,0.11676,1.67365,51.88324,86.83452,0.19542,87.02994
0.00224,52.00000,0.11729,1.67364,51.88271,86.83277,0.19629,87.02907
0.00225,52.00000,0.11781,1.67362,51.88219,86.83102,0.19717,87.02819
0.00226,52.00000,0.11833,1.67360,51.88167,86.82927,0.19804,87.02731
0.00227,52.00000,0.11885,1.67359,51.88115,86.82752,0.19891,87.02644
0.00228,52.00000,0.11938,1.67357,51.88062,86.82578,0.19979,87.02556
0.00229,52.00000,0.11990,1.67355,51.88010,86.82403,0.20066,87.02468
0.00230,52.00000,0.12042,1.67353,51.87958,86.82228,0.20153,87.02381
0.00231,52.00000,0.12095,1.67352,51.87906,86.82053,0.20241,87.02293
0.00232,52.00000,0.12147,1.67350,51.87853,86.81877,0.20328,87.02205
0.00233,52.00000,0.12199,1.67348,51.87801,86.81702,0.20415,87.02117
0.00234,52.00000,0.12252,1.67347,51.87748,86.81527,0.20503,87.02029
0.00235,52.00000,0.12304,1.67345,51.87696,86.81352,0.20590,87.01942
0.00236,52.00000,0.12356,1.67343,51.87644,86.81177,0.20677,87.01854
0.00237,52.00000,0.12408,1.67342,51.87592,86.81002,0.20764,87.01766
0.00238,52.00000,0.12461,1.67340,51.87539,86.80827,0.20852,87.01679
0.00239,52.00000,0.12513,1.67338,51.87487,86.80652,0.20939,87.01591
0.00240,52.00000,0.12565,1.67337,51.87435,86.80477,0.21026,87.01503
0.00241,52.00000,0.12618,1.67335,51.87383,86.80302,0.21114,87.01416
0.00242,52.00000,0.12670,1.67333,51.87330,86.80127,0.21201,87.01328
0.00243,52.00000,0.12722,1.67332,51.87278,86.79953,0.21288,87.01240
0.00244,52.00000,0.12774,1.67330,51.87225,86.79776,0.21376,87.01152
0.00245,52.00000,0.12827,1.67328,51.87173,86.79601,0.21463,87.01065
0.00246,52.00000,0.12879,1.67326,51.87121,86.79427,0.21550,87.00977
0.00247,52.00000,0.12931,1.67325,51.87069,86.79252,0.21637,87.00889
0.00248,52.00000,0.12984,1.67323,51.87016,86.79077,0.21725,87.00802
